Nama Penyakit,Deskripsi Penyakit,Penyebab Penyakit,Gejala Penyakit
Waham,Waham adalah keyakinan kuat terhadap sesuatu yang keliru atau tidak logis. Orang yang memiliki waham tidak mau menerima fakta bahwa hal yang diyakininya sebenarnya salah.,"terjadinya waham sangat dipengaruhi oleh berbagai faktor, mulai dari masalah kesehatan sampai kondisi lingkungan penderitanya. Berikut ini adalah penjelasannya:Faktor biologis Waham dapat lebih rentan terjadi pada orang yang:Memiliki orang tua atau anggota keluarga kandung dengan gangguan waham atau gangguan kesehatan mental lainMenderita demensiaMengalami gangguan pada otak, misalnya akibat stroke atau cedera otak beratMenderita penyakit ParkinsonMemiliki masalah pendengaran atau penglihatanBerusia lanjut (di atas 65 tahun)Faktor psikologisTerjadinya waham umumnya terkait erat dengan berbagai masalah pada kesehatan mental, seperti:Psikosis Gangguan mental hingga linglung parah (delirium) SkizofreniaGangguan suasana hati, misalnya pada depresi atau gangguan bipolar yang sudah parahTraumatis atau stres beratPerasaan cemburu, tidak percaya, atau rendah diriMekanisme koping yang kurang sehat saat menghadapi stres juga dapat memicu timbulnya pikiran waham, di antaranya:Memberikan reaksi emosional berlebihan saat mendapatkan kritik, penolakan, atau penilaian negatif dari lingkungan sosialMemiliki kebiasaan lari dari masalah, bahkan menghindari orang lainMemiliki kecenderungan menuduh orang atas kesalahan yang dia lakukanMengalami kecanduan alkoholMenyalahgunakan obat-obatan terlarang",awal dari waham sebagai langkah deteksi dini
Waardenburg Syndrome,"Waardenburg syndrome adalah kelainan genetik yang dapat mengubah warna kulit, mata, dan rambut, serta menyebabkan gangguan pendengaran dan perubahan pada bentuk wajah. Kondisi ini disebabkan oleh perubahan tidak normal pada gen yang berperan memberikan warna pada tubuh (melanin).",Waardenburg SyndromeWaardenburg syndrome disebabkan oleh mutasi (perubahan) pada gen yang memberi warna pada tubuh. Mutasi ini dapat terjadi dengan sendirinya atau karena diwariskan dari salah satu atau kedua orang tua.,"Waardenburg syndrome biasanya terdeteksi ketika bayi baru lahir. Namun, pada beberapa kasus, kondisi ini baru terlihat pada masa kanak-kanak."
Vulvodinia,"Vulvodinia adalah rasa nyeri yang terjadi di vulva, yaitu bagian terluar dari organ kelamin wanita. Vulvodinia bisa menimbulkan keluhan berupa sensasi seperti terbakar, tertusuk, atau panas di vagina.Vulvodinia dapat dialami oleh wanita dari semua rentang usia.","vulvodinia tidak diketahui secara pasti. Oleh sebab itu, kondisi ini sulit untuk dicegah.","dan riwayat kesehatan pasien. Selanjutnya, dokter akan melakukan pemeriksaan pada vagina, baik di bagian luar maupun dalam."
Vulvitis,"Vulvitis adalah peradangan di vulva yang ditandai dengan rasa gatal dan perih di area kemaluan wanita. Vulva merupakan lipatan kulit di bagian paling luar organ intim wanita, tetapi sering kali disalahartikan sebagai vagina.","yang lebih serius, seperti peradangan, infeksi, atau kanker. Selain itu, dokter juga akan menjalankan tes alergi untuk mendiagnosis dermatitis kontak.","yang dialami pasien, riwayat kesehatan, dan kebiasaan pasien dalam menjaga kebersihan area kelamin. Selanjutnya, dokter akan memeriksa area panggul dan kelamin pasien, untuk mencari tanda-tanda vulvitis, seperti ruam kemerahan, bengkak, benjolan, atau luka di vulva."
Voyeurisme,"Voyeurisme merupakan kelainan seksual di mana penderitanya merasa bergairah ketika secara diam-diam mengintip orang lain yang sedang membuka baju, telanjang, atau berhubungan seksual. Kondisi yang biasanya muncul pada masa remaja ini lebih sering dialami oleh laki-laki.Seseorang dikatakan mengalami voyeurisme jika ia merasakan dorongan berulang yang tidak terkendali untuk mengintip orang lain demi mendapatkan kepuasan seksual.","voyeurisme belum diketahui secara pasti. Namun, voyeurisme bisa diawali oleh situasi ketika penderitanya tanpa sengaja melihat orang lain sedang melepas pakaian, tidak berpakaian, atau melakukan hubungan seksual.Hal ini kemudian memicu timbulnya dorongan kuat untuk terus mengintip orang lain hingga mencapai tahap penderita merasa stres ketika hasrat ini tidak dipenuhi.Faktor risiko voyeurismeBeberapa faktor risiko yang dapat memicu seseorang mengalami voyeurisme adalah:Penyalahgunaan NAPZARiwayat kekerasan seksualHiperseks",voyeurisme yang dialaminya sudah berlangsung lebih dari 6 bulanTindakannya dilakukan tanpa persetujuan orang lain dan didasari oleh dorongan dalam dirinya yang tidak dapat dikontrolPengobatan VoyeurismeSeseorang yang telah didiagnosis menderita voyeurime memerlukan penanganan medis. Pengobatan voyeurisme bertujuan untuk mengurangi hasrat voyeurisme dan mengendalikan diri ketika dorongan itu datang.
Vitiligo,Vitiligo adalah penyakit yang menyebabkan warna kulit memudar. Area kulit yang memudar biasanya bertambah besar seiring waktu.,"vitiligo belum diketahui secara pasti. Oleh sebab itu, belum ada cara untuk mencegah penyakit ini.","dan mengamati kulit pasien. Pertanyaan-pertanyaan yang akan diajukan meliputi:Riwayat vitiligo atau penyakit autoimun dalam keluargaRiwayat trauma pada area kulit yang terkena vitiligo, misalnya kulit terbakar akibat sinar matahari (sunburn) atau bekas ruam kulit yang parahRiwayat stres atau kondisi medis yang pernah dideritaRiwayat pengobatan yang pernah dilakukanKemunculan uban di rambut sebelum berusia 35 tahunGuna memastikan diagnosis, dokter akan menjalankan pemeriksaan yang lebih detail, salah satunya dengan menggunakan Wood’s lamp atau lampu ultraviolet."
Virus Zika,"Virus Zika adalah penyakit yang ditularkan melalui gigitan nyamuk. Penyakit ini biasanya tidak bergejala, tetapi juga bisa menimbulkan gejala ringan berupa demam, ruam, dan nyeri otot.","virus Zika, ada beberapa cara yang bisa dilakukan, yaitu:  Mengenakan baju berlengan panjang, celana panjang, dan kaus kaki saat beraktivitas di luar ruangan atau di tempat yang banyak nyamuk Mengoleskan losion antinyamuk dengan kandungan DEET minimal 10 persen Menggunakan pendingin ruangan (AC) jika memungkinkan Memasang kawat nyamuk di jendela dan pintu Memasang kelambu di tempat tidur dan kereta dorong bayi  Membersihkan tempat penampungan air setiap 1 minggu sekali dan menutup tempat air tersebut agar nyamuk tidak bertelur di dalamnya Menaburkan bubuk larvasida di tempat penampungan air untuk membunuh larva nyamuk Membuang atau menimbun barang bekas yang dapat menampung air, seperti ember, kaleng, atau ban","yang telah disebutkan, terutama jika sedang hamil atau baru saja bepergian ke daerah yang banyak terjadi kasus infeksi virus Zika. Dokter akan melakukan pemeriksaan untuk memastikan penyebabnya, kemudian menentukan penanganan sesuai dengan keluhan yang dialami."
Virus Corona,Virus Corona atau severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) adalah virus yang menyerang sistem pernapasan. Penyakit akibat infeksi virus ini disebut COVID-19.,COVID-19. Berikut ini adalah jenis varian tersebut:Varian Alfa (B.1.1.7) yang pertama kali ditemukan di Inggris pada September 2020.Varian Beta (B.1.351/B.1.351.2/B.1.351.3) yang pertama kali ditemukan di Afrika Selatan pada Mei 2020.Varian Gamma (P.1/P.1.1/P.1.2) yang pertama kali ditemukan di Brazil pada November 2020.Varian Delta (B.1.617.2/AY.1/AY.2/AY.3) yang pertama kali ditemukan di India pada Oktober 2020.Varian Omicron (B.1.1.529) yang pertama kali ditemukan di beberapa negara pada November 2021.Varian Omicron merupakan varian utama virus corona yang saat ini menyebar luas.,"yang Anda alami bertambah berat.Larang orang lain untuk mengunjungi atau menjenguk Anda sampai Anda benar-benar sembuh.Sebisa mungkin jangan melakukan pertemuan dengan orang yang sedang sakit.Hindari berbagi penggunaan alat makan dan minum, alat mandi, serta perlengkapan tidur dengan orang lain.Pakai masker dan sarung tangan bila sedang berada di tempat umum atau sedang bersama orang lain.Gunakan tisu untuk menutup mulut dan hidung bila batuk atau bersin, lalu segera buang tisu ke tempat sampah.Perlu diketahui, kondisi-kondisi yang perlu ditangani langsung oleh dokter di rumah sakit, seperti melahirkan, operasi, cuci darah, atau vaksinasi anak, akan dilakukan dengan beberapa penyesuaian selama pandemi COVID-19. Tujuannya adalah agar Anda tidak tertular virus Corona selama di rumah sakit.Oleh sebab itu, konsultasikan dengan dokter mengenai tindakan terbaik yang perlu dilakukan bila Anda mengalami kondisi-kondisi di atas.Apabila Anda ingin mendapatkan lebih banyak informasi mengenai gejala, pencegahan, dan penanganan infeksi virus Corona, silakan download aplikasi ALODOKTER di Google Play atau App Store."
Pengertian Vertigo,"Vertigo adalah kondisi yang membuat penderitanya mengalami pusing hingga merasa dirinya atau sekelilingnya berputar. Meski sering kali dianggap sebagai suatu penyakit, vertigo sebenarnya merupakan gejala dari penyakit atau kondisi lain.Vertigo harus diperiksakan ke dokter agar diketahui penyebabnya.","VertigoBerdasarkan penyebabnya, vertigo terbagi menjadi dua, yakni vertigo perifer dan sentral. Vertigo perifer disebabkan oleh gangguan pada telinga bagian dalam.","yang lebih serius, seperti:Anggota tubuh terasa lemahPenglihatan berbayangSulit berbicara atau berjalanGerakan mata yang tidak normalRespon melambatMati rasa atau kesemutanDemamPenurunan kesadaranKomplikasi VertigoVertigo jarang menyebabkan komplikasi. Meski demikian, pusing akibat vertigo bisa menimbulkan rasa tidak nyaman."
Ventrikel Takikardi,Ventricular tachycardia atau ventrikel takikardi adalah kondisi ketika ventrikel (bilik) jantung berdetak terlalu cepat. Hal ini terjadi akibat gangguan pada aliran listrik jantung yang penyebabnya bervariasi.,"dari keluhan pasien. Pemeriksaan itu meliputi:Elektrokardiografi (EKG)EKG jantung bertujuan untuk mengukur aktivitas listrikEKG treadmillTindakan ini bertujuan untuk melihat rekaman listrik jantung selama pasien beraktivitas di atas alat treadmill.Holter monitorProsedur ini dilakukan dengan memasang EKG portabel selama 24 jam untuk merekam aliran listrik jantung.Echo jantungMetode ini menggunakan gelombang suara berfrekuensi tinggi, untuk melihat gambaran struktur dan katup jantung secara lebih detail.MRI jantungPemindaian ini dilakukan untuk mendapatkan gambaran detail jantung, dengan menggunakan gelombang magnet.Kateterisasi jantungKateterisasi jantung berfungsi untuk mengetahui aliran darah ke otot jantung.Pengobatan Ventrikel TakikardiPenanganan ventrikel tarkikadi tergantung pada kondisi dan tingkat keparahan pasien.","di atas, hubungi dokter secepatnya.Jika Anda melihat orang yang kehilangan kesadaran, tidak memililiki denyut nadi dan tidak bernapas, segera cari pertolongan medis atau minta bantuan orang sekitar, serta lakukan CPR kepada orang tersebut jika Anda mampu.Bila tersedia alat kejut jantung otomatis atau Automatic External Defibrillator (AED), gunakan alat tersebut untuk mengetahui irama jantung penderita. Setelah itu, ikuti petunjuk dari alat AED."
