Nama Penyakit,Deskripsi Penyakit,Penyebab Penyakit,Gejala Penyakit
Pengertian Radang Amandel,Radang amandel atau tonsilitis adalah kondisi ketika amandel mengalami inflamasi atau peradangan. Kondisi ini umumnya dialami oleh anak usia 3–7 tahun.,radang amandel adalah virus yang juga menyebabkan batuk pilek atau flu.,"lain, seperti suara serak, demam, bau mulut, batuk, dan sakit kepala.Pengobatan dan Pencegahan Radang Amandel Radang amandel dapat ditangani dengan terapi mandiri, konsumsi obat amandel, atau operasi. Dokter akan menentukan metode yang tepat, sesuai dengan hasil pemeriksaan kondisi pasien.Radang amandel merupakan kondisi yang dapat dicegah."
Rabun Senja,"Rabun senja adalah gangguan mata yang menyebabkan penderitanya sulit melihat pada malam hari atau saat berada di tempat yang gelap. Rabun senja bukan merupakan suatu penyakit, tetapi gejala yang disebabkan oleh penyakit tertentu.","rabun senja adalah glaukoma  Pencegahan Rabun Senja Rabun senja tidak selalu bisa dicegah, terutama yang disebabkan oleh faktor genetik. Namun, ada beberapa cara yang dapat dilakukan untuk menekan keparahan kondisinya.","tersebut akan lebih terasa ketika penderita rabun senja berpindah dari ruangan yang terang ke ruangan yang gelap. Rabun senja juga akan menyulitkan penderitanya untuk mengemudi pada malam hari, akibat cahaya yang kurang atau terputus-putus."
Pengertian Rabies,Rabies adalah infeksi virus pada otak dan sistem saraf. Virus penyebab rabies umumnya menular ke manusia melalui gigitan hewan.,"RabiesHewan utama penular rabies adalah anjing. Selain anjing, hewan yang juga dapat membawa virus rabies dan menularkannya ke manusia adalah kelelawar, kucing, dan kera.Virus rabies bisa menular melalui air liur, gigitan, atau cakaran hewan yang tertular rabies.","rabies lanjutan setelah digigit hewan liar dalam kurun waktu sekitar 1 bulan, segera periksakan diri ke dokter.Pertolongan Pertama RabiesJika Anda baru saja digigit hewan yang diduga terinfeksi virus rabies, lakukan hal-hal berikut sebagai langkah pertolongan pertama:Bila mengalami perdarahan aktif, tekan bagian yang terluka dengan kain bersih atau kain kasa untuk menghentikan perdarahanCuci luka gigitan atau cakaran menggunakan air dan sabun, selama 10–15 menit.Setelah itu, oleskan alkohol 70% atau cairan antiseptik yang mengandung povidone iodine ke luka tersebut.Segera ke rumah sakit untuk mendapatkan pertolongan lebih lanjut.Setelah sampai di rumah sakit, dokter akan membersihkan luka gigitan atau cakaran, kemudian memberikan serum dan vaksin rabies. Tujuannya adalah untuk membantu sistem kekebalan tubuh melawan virus rabies sehingga infeksi dan peradangan pada otak dapat dicegah.Akan tetapi, virus rabies yang telah menginfeksi otak akan lebih sulit ditangani, karena belum diketahui metode yang benar-benar efektif untuk mengatasinya.Komplikasi RabiesRabies merupakan penyakit yang sangat berbahaya."
Puting Gatal,Puting gatal adalah kondisi yang umum terjadi dan tidak selalu menandakan adanya penyakit. Keluhan ini bisa saja timbul karena iritasi ringan atau akibat perubahan hormon saat hamil.,"spesifik dari puting gatal, lakukan konsultasi online lewat Chat Bersama Dokter.Periksakan diri ke dokter jika puting gatal disertai dengan kondisi berikut ini:Gatal berlangsung lebih dari 2 minggu dan tidak membaik dengan perawatan mandiri di rumahGatal makin parah sampai mengganggu aktivitas, terbangun dari tidur, atau sulit tidur pada malam hariKulit puting dan areola bersisik, berkerak, mengelupasNyeri dan bengkak di puting atau payudaraKulit payudara tampak seperti kulit jerukPengelupasan kulit di puting, areola, dan payudaraKeluar nanah atau darah dari puting payudaraPuting payudara tertarik ke dalamBengkak atau benjolan di bawah ketiakPerih dan nyeri tajam seperti tertusuk, terutama ketika menyusui atau memompa ASIDemam tinggi, menggigil","puting gatal dapat mereda setelah pemicunya dihindari. Namun, bila Anda ragu akan"
Pusing,"Pusing adalah sensasi seperti melayang, berputar, kliyengan, atau merasa akan pingsan. Pusing bisa dialami oleh siapa saja dan sensasi yang dirasakan dapat berbeda antara satu orang dengan orang yang lain.",dari kondisi dan,"pusing, seperti terapi perubahan posisi kepala (terapj Epley) untuk pusing akibat vertigo, terapi keseimbangan, dan psikoterapi.Beberapa prosedur lain, seperti pengangkatan bagian organ pendengaran, juga dapat dilakukan jika metode di atas tidak dapat mengobati pusing yang dialami.Komplikasi PusingWalau umumnya tidak berbahaya, pusing dapat menyebabkan komplikasi pada penderitanya. Penderita yang mengalami pusing memiliki risiko lebih tinggi untuk terjatuh dan mengalami cedera, karena tubuh sulit untuk bergerak dengan seimbang saat pusing terjadi.Oleh karena itu, penderita pusing disarankan untuk tidak berjalan terlalu cepat atau berjalan dengan menggunakan tongkat jika pusing yang dirasakan cukup parah.Pusing juga dapat meningkatkan kemungkinan terjadinya kecelakaan saat penderita mengemudikan kendaraan sendiri."
Pulpitis,"Pulpitis adalah peradangan pada pulpa gigi, yaitu saluran akar gigi yang berisi saraf dan pembuluh darah. Kondisi ini dapat menimbulkan gejala berupa sakit gigi parah, bau mulut, serta nyeri saat mengonsumsi makanan atau minuman yang manis, dingin, atau panas.Gigi memiliki beberapa lapisan yang terdiri dari lapisan terluar (enamel), lapisan tengah (dentin), dan saluran akar gigi (pulpa).","infeksi biasanya berasal dari jenis Streptococcus mutans.Kerusakan pada enamel dan dentin bisa terjadi karena beberapa penyakit atau kondisi berikut:Gigi berlubangCedera pada gigiGigi patahKebiasaan menggesekkan gigi atas dan bawah (bruxism)Faktor risiko pulpitisAda beberapa kondisi yang dapat meningkatkan risiko seseorang mengalami pulpitis, yaitu:Kebersihan mulut yang tidak terjagaKonsumsi makanan dan minuman yang manisOlahraga yang bisa menyebabkan cedera pada gigi, seperti tinjuDiabetes","dan riwayat kesehatan pasien, kemudian melakukan pemeriksaan gigi dengan menyemprotkan air atau mengetuk gigi yang bermasalah menggunakan alat.Selain melakukan pemeriksaan gigi, dokter akan melakukan pemeriksaan foto Rontgen gigi. Melalui pemeriksaan ini, dokter dapat menilai kerusakan yang terjadi pada gigi dengan lebih jelas.Pengobatan PulpitisPengobatan pulpitis dapat dilakukan dengan mengombinasikan pemberian obat-obatan dan tindakan medis."
Pubertas Dini,Pubertas dini adalah perubahan tubuh anak menjadi dewasa (pubertas) di usia yang lebih awal dari seharusnya. Anak perempuan dianggap mengalami pubertas dini ketika pubertas terjadi sebelum usianya mencapai 8 tahun.,"pubertas dini kebanyakan tidak dapat dicegah, misalnya yang disebabkan oleh kelainan genetik yang diturunkan.Akan tetapi, pubertas dini yang dipicu oleh obesitas dapat dihindari. Caranya adalah dengan membantu anak untuk menjaga berat badannya agar tidak berlebih, salah satunya dengan memberinya makanan yang sehat dan mendorongnya untuk aktif bergerak dan berolahraga.Paparan krim atau salep yang mengandung hormon tertentu juga dapat memicu terjadinya pubertas dini.","dan penyakit yang pernah atau sedang diderita oleh anak dan keluarganya. Dokter juga akan memeriksa perubahan fisik pada tubuh anak, serta melakukan tes darah dan tes urine, untuk memeriksa kadar hormon dalam tubuh anak.Selanjutnya, dokter akan melakukan stimulasi GnRH untuk mencari tahu jenis pubertas dini yang diderita anak."
PTSD,"PTSD (post-traumatic stress disorder) atau gangguan stres pascatrauma adalah gangguan mental yang muncul setelah seseorang mengalami atau menyaksikan peristiwa yang bersifat traumatis atau sangat tidak menyenangkan.PTSD merupakan gangguan kecemasan yang membuat penderitanya teringat pada kejadian traumatis. Beberapa peristiwa traumatis yang dapat memicu PTSD adalah perang, kecelakaan, bencana alam, dan pelecehan seksual.Meski demikian, tidak semua orang yang teringat pada kejadian traumatis berarti terserang PTSD.",PTSDPTSD bisa muncul setelah mengalami atau menyaksikan peristiwa yang menakutkan atau mengancam nyawa. Belum diketahui secara pasti mengapa peristiwa tersebut menyebabkan PTSD pada sebagian orang.,"yang dialami pasien, seperti:Antidepresan, seperti sertraline dan paroxetine, untuk mengatasi depresiAnticemas, untuk mengatasi kecemasanPrazosin, untuk mencegah mimpi burukDokter akan meningkatkan dosis bila obat tidak efektif dalam mengatasi gejala. Sebaliknya, jika terbukti efektif, obat akan terus diberikan setidaknya sampai 1 tahun, kemudian dihentikan secara bertahap.Komplikasi PTSDPTSD bisa mengganggu kehidupan penderitanya, baik di lingkup keluarga, orang terdekat, atau pekerjaan."
Pterygium,Surfer’s eye atau pterygium adalah penyakit mata yang ditandai dengan tumbuhnya selaput pada bagian putih bola mata yang bisa mencapai kornea. Kondisi ini dapat terjadi pada salah satu mata saja atau kedua mata sekaligus.,"pterigium belum diketahui secara pasti. Namun, kondisi ini lebih banyak terjadi pada mereka yang sering melakukan aktivitas di luar ruangan.","utamanya, yaitu tumbuhnya selaput tipis di permukaan bola mata.Meksi begitu, dokter juga dapat melakukan pemeriksaan yang lebih saksama dengan prosedur slit lamp. Prosedur ini dilakukan menggunakan alat khusus seperti kaca pembesar bercahaya, untuk memeriksa kondisi mata.Jika dibutuhkan, dokter akan melakukan pemeriksaan yang lebih detail, untuk mengukur kemampuan penglihatan dan memeriksa perubahan lengkungan pada kornea pasien."
Psoriasis Arthritis,"Psoriasis arthritis adalah radang sendi yang menyerang penderita psoriasis. Meskipun sebagian besar kasus psoriasis arthritis diawali dengan psoriasis, tetapi psoriasis arthritis juga bisa terjadi sebelum gejala psoriasis muncul.Psoriasis adalah kondisi ketika sel kulit terbentuk secara berlebihan dan sangat cepat.","dan Faktor Risiko Psoriasis ArthritisPsoriasis arthritis terjadi ketika sistem kekebalan tubuh malah menyerang sel tubuh yang sehat (penyakit autoimun) sehingga menyebabkan peradangan pada sendi dan produksi sel kulit yang berlebihan.Belum diketahui apa pemicu kondisi tersebut, tetapi kondisi ini diduga terkait dengan faktor keturunan dan lingkungan. Beberapa faktor yang dapat meningkatkan risiko psoriasis arthritis adalah:Menderita psoriasisInfeksi virus atau infeksi bakteriBerusia 30–50 tahunMemiliki keluarga yang menderita psoriasis arthritis","dan mencegah penyakit bertambah parah.Komplikasi Psoriasis ArthritisPenderita psoriasis arthritis lebih rentan menyebabkan sejumlah penyakit berikut ini:ObesitasDepresiPenyakit perlemakan hatiPenyakit mata, seperti konjungtivitis dan uveitisPenyakit jantungDiabetesRadang ususOsteoporosisSindrom metabolikKanker, seperti leukemia dan limfomaPencegahan Psoriasis ArthritisPsoriasis arthritis bisa dicegah atau diredakan gejalanya dengan melakukan sejumlah hal berikut:Berolahraga ringan, seperti berjalan kaki, bersepeda, dan berenangMengompres sendi yang bengkak dengan kompres dingin untuk meredakannyaMengompres sendi dengan kompres hangat untuk meredakan kaku dan nyeriGuna mencegah psoriasis arthritis, penderita psoriasis disarankan rutin berobat dan memeriksakan kondisinya ke dokter, minimal 1 tahun sekali."
Pengertian Psoriasis,"Psoriasis adalah peradangan pada kulit yang menyebabkan kulit bersisik, menebal, mudah terkelupas, dan kadang juga terasa gatal. Psoriasis biasanya muncul di kulit bagian lutut, siku, punggung bagian bawah, dan kulit kepala.Pada keadaan normal, proses pergantian sel-sel kulit membutuhkan waktu sekitar 1 bulan.","psoriasis belum diketahui secara pasti. Namun, kondisi ini diduga terjadi akibat gangguan sistem kekebalan tubuh.","ini bisa terjadi selama beberapa minggu, kemudian hilang untuk sementara waktu sampai akhirnya muncul kembali.Pengobatan dan Pencegahan PsoriasisPengobatan psoriasis bertujuan untuk meredakan gejala. Adapun metode pengobatannya disesuaikan dengan usia dan tingkat keparahan pasien."
Psikosis,Psikosis adalah kondisi yang menyebabkan penderitanya sulit membedakan kenyataan dan imajinasi. Psikosis ditandai dengan munculnya halusinasi dan waham (delusi).,"pastinya, beberapa faktor berikut diduga dapat meningkatkan risiko seseorang mengalami psikosis:Memiliki anggota keluarga dengan riwayat psikosis atau gangguan jiwa lainnyaMengalami peristiwa traumatis, misalnya karena kematian orang terdekat atau pelecehan seksualPernah menyalahgunakan NAPZA atau kecanduan alkoholPernah menderita penyakit mental maupun fisik atau cedera yang membutuhkan pengobatan jangka panjangPernah menjalani pengobatan kemoterapi dalam waktu dekat",psikosis. Kelompok ini biasanya dibimbing oleh psikolog atau psikiater.4.
Psikopat,"Psikopat adalah istilah yang dulu digunakan untuk menggambarkan seseorang yang tidak memiliki emosi, perasaan, dan hati nurani. Meskipun demikian, istilah medis yang tepat untuk kondisi ini kini bukanlah psikopat, melainkan gangguan kepribadian antisosial.","seseorang bisa menjadi psikopat. Namun, kondisi ini diduga dapat dipengaruhi oleh faktor genetik dan lingkungan, seperti:Riwayat gangguan kepribadian saat kanak-kanakKekerasan, pelecehan, atau penelantaran saat kanak-kanakRiawayat gangguan kepribadian antisosial atau gangguan mental lain pada keluargaSelain faktor-faktor di atas, kelainan pada struktur otak yang mengatur emosi juga diduga dapat menyebabkan seseorang menjadi psikopat.","gangguan mental yang mungkin terjadi bersamaan dengan psikopat. Jenis obat yang dapat diresepkan oleh dokter antara lain:Antidepresan golongan selective serotonin reuptake inhibitors (SSRI), seperti seperti fluoxetine, sertraline, atau escitalopramAntipsikotik, seperti aripiprazole, atau olanzapineObat penstabil suasana hati atau mood stabilizers, contohnya lithium dan carbamazepineAntiansietas atau anticemas, seperti buspironePengobatan sedini mungkin yang disertai dengan dukungan penuh dari pasangan, keluarga, atau teman, akan meningkatkan keberhasilan terapi terhadap penderita psikopat.Komplikasi Psikopat       Seorang psikopat yang tidak mendapatkan penanganan dapat mengalami penurunan kualitas hidup, gangguan pada interaksi sosial, atau gangguan kesehatan lain."
Pseudogout,Pseudogout adalah salah satu jenis artritis atau radang sendi yang disebabkan oleh penumpukan kristal pyrophosphate calcium. Kondisi ini ditandai dengan nyeri dan bengkak di sendi.,"pastinya sehingga penanganan dapat dilakukan dengan tepat.Diagnosis PseudogoutUntuk mendiagnosis pseudogout, dokter akan melakukan tanya jawab seputar keluhan yang dialami pasien, serta riwayat kesehatan pasien dan keluarganya. Selanjutnya, dokter akan melakukan pemeriksaan di sendi untuk melihat tanda-tanda peradangan.Untuk memastikan diagnosis pseudogout, dokter perlu melakukan pemeriksaan lanjutan, antara lain:Tes cairan sendi, untuk menemukan endapan kristal kalsium pirofosfatFoto Rontgen, untuk memeriksa kerusakan, serta penumpukan dan endapan kristal kalsium pirofosfat di sendiUSG sendi, untuk mendeteksi peradangan dan endapan kristal kalsium pirofosfat di sendiBila diperlukan, dokter juga dapat menyarankan tes darah untuk memeriksa kadar kelenjar tiroid dan paratiroid.Pengobatan PseudogoutTujuan dari pengobatan pseudogout adalah meredakan","pseudogout umumnya akan mereda atau menghilang secara berkala dalam waktu 24 jam setelah pengobatan.Perawatan mandiriPenderita pseudogout juga dianjurkan untuk melakukan perawatan mandiri di rumah. Beberapa cara yang bisa dilakukan adalah mengistirahatkan sendi yang terasa nyeri atau mengompres dingin area sendi yang mengalami peradangan.Sementara itu, untuk mengurangi kekakuan di sendi dan memperbaiki kemampuan gerak, penderita disarankan untuk rutin berolahraga dan menjaga berat badan agar tetap ideal.Komplikasi PseudogoutPseudogout dapat menyebabkan rasa tidak nyaman dan gangguan pergerakan."
Pseudobulbar Affect (PBA),"Afek pseudobulbar atau penyakit pseudobulbar affect (PBA) adalah penyakit yang membuat penderitanya tertawa atau menangis tiba-tiba tanpa ada pemicunya. Berbeda dengan orang normal, penderita PBA sering tertawa atau menangis pada situasi yang tidak lucu atau sedih.Penyakit pseudobulbar affect digambarkan dalam film melalui sosok Arthur Fleck atau Joker.","Pseudobulbar Affect (PBA)Belum diketahui secara pasti apa yang menyebabkan pseudobulbar affect. Akan tetapi, ada dugaan bahwa PBA disebabkan oleh kerusakan pada bagian otak yang mengontrol emosi, serta adanya perubahan pada zat kimia otak.","pseudobulbar affect dapat menyebabkan penderitanya merasa cemas, malu, hingga mengalami depresi. Bahkan, tidak menutup kemungkinan penderita PBA mengisolasi diri karena penyakit yang dideritanya sehingga aktivitas sehari-harinya menjadi terganggu.Pencegahan Pseudobulbar Affect (PBA)Pseudobulbar affect sulit untuk dicegah."
Pruritus,Pruritus adalah istilah medis untuk keluhan gatal di kulit yang menimbulkan keinginan menggaruk. Kondisi ini umumnya tidak berbahaya.,"rasa gatal tersebut dapat diketahui. Untuk mengobati pruritus, dokter akan memastikan penyebabnya dan mengobatinya dengan meresepkan obat-obatan berikut:  Krim kortikosteroid, untuk meredakan dermatitis  Obat antijamur, untuk mengatasi pruritus akibat infeksi jamur Obat antivirus, untuk mengobati herpes dan cacar air Obat antihistamin, untuk mengatasi pruritus yang disebabkan oleh reaksi alergi Obat antidepresan golongan trisiklik, seperti doxepine, untuk mengatasi pruritus yang terjadi dalam jangka panjang  Selain itu, dokter juga bisa memberikan terapi khusus, seperti terapi sinar atau fototerapi untuk meredakan rasa gatal.","atau mengonsumsi obat alergi secara rutin. Sementara pada penderita diabetes, menjaga kadar gula darah tetap terkontrol dapat mencegah pruritus."
Prurigo,Prurigo adalah bentol-bentol yang sangat gatal dan timbul secara tiba-tiba tanpa sebab yang jelas. Bentol yang muncul di kulit bisa berukuran kecil hingga besar.,"prurigo masih diteliti lebih lanjut. Meski demikian, ada beberapa kondisi yang dapat meningkatkan risiko seseorang mengalami prurigo, yaitu:  Diabetes Gagal ginjal kronis Gangguan tiroid Dermatitis atopik Gangguan mental, seperti depresi berat Limfoma Lichen planus  Postherpetic neuralgia, yaitu nyeri berkepanjangan setelah seseorang terkena cacar ular atau herpes zoster   Selain beberapa kondisi di atas, seseorang juga berisiko terserang prurigo jika sedang menggunakan obat untuk kanker, seperti carboplatin, pembrolizumab, dan paclitaxel.","prurigo, antara lain: Obat-obatan Dokter dapat meresepkan obat minum atau obat oles berupa:  Obat oles kortikosteroid, seperti Lotasbat, Bersol, atau Dermovel, untuk mengurangi peradangan dan rasa gatal Obat oles vitamin D3, seperti calcipotriol, untuk memperlambat pertumbuhan sel-sel kulit Obat oles golongan psoralen, seperti methoxsalen, untuk mengurangi rasa gatal yang parah Obat oles imunosupresan, seperti tacrolimus, untuk mengurangi peradangan dan rasa gatal dengan menekan kerja sistem kekebalan tubuh Obat antihistamin minum, seperti Alermax, untuk mengurangi rasa gatal   Tindakan medis lain  Selain memberikan obat-obatan, dokter juga dapat melakukan tindakan medis lain, seperti:   Krioterapi, untuk mengecilkan bentol dan mengurangi rasa gatal, dengan membekukan sel menggunakan cairan khusus Terapi sinar (fototerapi), untuk memperbaiki penampilan kulit yang mengalami penebalan Psikoterapi, untuk membantu pasien dalam menahan diri untuk tidak menggaruk gatal  Perawatan mandiri Untuk mempercepat proses penyembuhan, pasien harus menghindari pantangan darah manis dan juga dapat melakukan beberapa perawatan mandiri di rumah, seperti:  Mengompres dingin area yang mengalami gatal Mandi dengan air hangat, tetapi tidak dianjurkan dalam waktu yang terlalu lama Menggunakan pelembap kulit yang mengandung petroleum jelly atau krim hipoalergenik Menggunakan sabun untuk kulit sensitif  Mengenakan pakaian berbahan ringan dan mudah menyerap keringat Menjaga kuku tetap pendek dan mengenakan sarung tangan kain untuk mengurangi kulit tergores akibat tergaruk  Komplikasi Prurigo Apabila tidak ditangani, prurigo dapat mengganggu aktivitas sehari-hari penderitanya, bahkan menyebabkan insomnia. Selain itu, prurigo juga bisa menimbulkan komplikasi lain, misalnya:  Infeksi bakteri di kulit yang gatal karena digaruk secara terus-menerus Warna kulit di area yang gatal berubah menjadi lebih gelap (hiperpigmentasi) Bekas luka akibat garukan  Selain beberapa komplikasi di atas, prurigo juga dapat mengganggu penampilan sehingga membuat penderitanya merasa malu, cemas, bahkan depresi."
Prostatitis,Prostatitis adalah peradangan pada kelenjar prostat yang bisa terjadi tiba-tiba (akut) atau berkembang secara bertahap dalam waktu yang lama (kronis). Prostatitis biasanya ditandai dengan nyeri dan kesulitan buang air kecil.Kelenjar prostat adalah organ pada sistem reproduksi pria yang berperan dalam proses produksi sperma.,"prostatitis tidak diketahui sehingga sulit untuk dicegah. Meski demikian, ada beberapa cara yang dapat dilakukan untuk mengurangi risiko terserang prostatitis, yaitu:Menjaga kebersihan area kelamin secara rutinMelakukan hubungan seks yang aman, yaitu dengan menggunakan kondom dan tidak bergonta-ganti pasanganMemperbanyak minum air putihMemperbanyak konsumsi buah dan sayur untuk menjaga daya tahan tubuhTidak mengonsumsi makanan pedas, minuman berkafein, dan minuman beralkoholBerolahraga secara rutin minimal 3 kali dalam semingguMenjaga berat badan idealMenghindari duduk terlalu lama dan melakukan perubahan posisi dari duduk ke berdiri secara berkalaMengelola stres dengan baik, misalnya dengan meditasi atau relaksasi","dan riwayat penyakit pasien. Setelah itu, dokter akan melakukan pemeriksaan fisik, salah satunya dengan colok dubur."
Prosopagnosia,"Prosopagnosia adalah kondisi yang menyebabkan penderitanya kesulitan mengenali wajah orang lain, bahkan keluarganya sendiri. Kondisi ini bisa terjadi akibat kelainan bawaan lahir, penyakit saraf, atau cedera kepala.Prosopagnosia atau facial agnosia bukan termasuk gangguan penglihatan.","prosopagnosia bisa berbeda-beda, tergantung pada jenisnya. Berikut adalah penjelasannya:Prosopagnosia kongenital (developmental prosopagnosia)Prosopagnosia kongenital disebabkan oleh kelainan genetik.","berikut:Tidak bisa mengenali wajah keluarganya ketika bertemu secara tiba-tiba di tempat baruEnggan bermain dengan teman sebaya dan selalu ingin bersama orang tuanyaMendekati orang lain karena mengira orang tersebut adalah orang tuanyaSulit mengenali dan mengingat karakter dalam filmSegera cari pertolongan medis atau pergi ke IGD rumah sakit terdekat apabila Anda atau orang terdekat Anda tidak dapat mengenali wajah orang lain secara tiba-tiba, terutama bila disertai kelumpuhan di satu sisi tubuh, bicara cadel, sulit menelan, dan linglung.Diagnosis ProsopagnosiaSebagai langkah awal diagnosis, dokter akan menanyakan riwayat kesehatan pasien dan keluarganya. Setelah itu, dokter akan melakukan pemeriksaan fisik dan penunjang berupa rekam gelombang otak atau elektroensefalografi (EEG).Untuk menegakkan diagnosis, dokter dapat merekomendasikan pemeriksaan saraf, yang meliputi:Tes sensorik, untuk memeriksa fungsi penglihatanTes kognitif, untuk memeriksa kemampuan dalam mengingat, memecahkan masalah, dan mengambil keputusanTes memori, untuk mengetahui gangguan dalam mengenali dan mengingat objek atau wajahTes pengenalan wajah, untuk menguji kemampuan pasien dalam mengingat dan membedakan wajah orang lainTes pengenalan objek, untuk mengetahui apakah pasien memiliki lebih dari satu jenis gangguan mengingat wajah atau objekPengobatan ProsopagnosiaTidak ada metode khusus untuk menyembuhkan prosopagnosia."
Prolaps Rektum,Prolaps rektum adalah kondisi ketika bagian terbawah dari usus besar (rektum) menonjol keluar dari anus. Kondisi ini terjadi akibat melemahnya otot dan jaringan di sekitar rektum sehingga tidak mampu menyangga rektum.,yang mendasarinya. Dokter juga dapat mendorong bagian rektum yang keluar dengan jari hingga ke dalam anus.,"yang dialami pasien dan riwayat kesehatannya, kemudian dilanjutkan dengan pemeriksaan fisik. Dokter juga akan melakukan pemeriksaan fisik dengan cara memasukkan jari ke dalam anus pasien.Selanjutnya, dokter dapat melakukan beberapa pemeriksaan penunjang berikut untuk menetapkan diagnosis:Tes barium enema, untuk melihat kondisi saluran pencernaan bagian bawah, dengan memasukkan cairan barium ke dalam usus pasien melalui anus, lalu mengambil gambar bagian dalam perut pasien dengan foto RontgenKolonoskopi, untuk melihat kondisi usus besar dengan menggunakan selang berkamera yang dimasukkan melalui anusDefecografi, untuk mengamati kerja organ dan otot-otot saluran pencernaan ketika buang air besar menggunakan alat Rontgen atau MRIProgtosigmoidoskopi, untuk memeriksa bagian dalam anus dan rektum menggunakan alat berbentuk selang berkamera (sigmoidoskop) yang dimasukkan melalui anusManometri anorektal, untuk mengukur kekuatan sfingter anusPada anak-anak, cystic fibrosis merupakan kondisi yang paling sering menyebabkan prolaps rektum."
Prolaktinoma,"Prolaktinoma adalah tumor jinak yang tumbuh di dalam otak, tepatnya di kelenjar hipofisis (pituitary). Tumor ini menyebabkan hormon prolaktin diproduksi secara berlebihan.","pasti dari prolaktinoma belum diketahui, kondisi ini sulit untuk dicegah. Pencegahan yang dapat dilakukan hanyalah untuk menghindari risiko terjadinya komplikasi akibat prolaktinoma.Jika Anda mengalami","prolaktinoma atau berisiko terkena prolaktinoma, lakukan pemeriksaan ke dokter agar penyebabnya dapat diketahui dan ditangani dengan tepat."
Proktitis,"Proktitis adalah peradangan pada dinding usus besar bagian akhir (rektum). Peradangan ini membuat penderita proktitis merasa perut mulas, sakit perut dan dubur, diare, serta BAB berdarah dan berlendir.Proktitis dapat disebabkan oleh penyakit radang usus, seperti Crohn’s disease dan kolitis ulseratif, serta penyakit menular seksual akibat hubungan seks anal tanpa kondom.Proktitis dapat dicegah dengan tidak bergonta-ganti pasangan seksual dan selalu menggunakan kondom saat berhubungan seksual.Penyebab ProktitisProktitis dapat disebabkan oleh berbagai hal, mulai dari penyakit, penggunaan obat-obatan, sampai gaya hidup yang tidak sehat.","dari proktitis, antara lain:Obat antibiotik, jika proktitis disebabkan oleh infeksi bakteriObat antivirus, jika proktitis disebabkan oleh infeksi akibat virus, seperti herpesObat pelunak tinja dan prosedur pelebaran rektum atau ablasi, jika proktitis disebabkan oleh efek samping radioterapiObat antiperadangan dan obat imunosupresif, jika proktitis disebabkan oleh radang ususApabila","yang dialami pasien tidak kunjung hilang, dokter dapat melakukan operasi pengangkatan jaringan yang rusak untuk mengatasi proktitis.Selain penanganan medis, peradangan dan nyeri ringan dapat diredakan dengan cara-cara sederhana, seperti:Menghindari kebiasaan makan sesaat sebelum tidur, agar sistem pencernaan dapat beristirahatMerendam bokong dan selangkangan dengan air hangat selama beberapa menitMengonsumsi obat pereda sakit yang dijual bebas di pasaranMenghindari konsumsi makanan pedas, asam, atau berlemakMenghindari konsumsi minuman yang mengandung soda, kafein, dan susuMinum banyak air putihKomplikasi ProktitisProktitis yang tidak ditangani dengan baik dapat menimbulkan komplikasi berupa:Anemia akibat pendarahan berkelanjutanInfeksi bernanah (abses) pada are yang terinfeksiBorok di dalam dinding rektumFistula ani, yaitu saluran abnormal yang terbentuk antara usus dengan kulit di sekitar duburFistula rektovagina, yaitu saluran abnormal yang terbentuk antara rektum dan vagina sehingga feses dapat keluar ke vaginaPencegahan ProktitisUntuk mengurangi risiko terkena proktitis, hindari melakukan hubungan seks yang berisiko, seperti bergonta-ganti pasangan dan tanpa menggunakan kondom. Selain itu, cara yang dapat dilakukan untuk mencegah proktitis adalah:Tidak melakukan hubungan seks terlebih dahulu jika pasangan Anda memiliki luka di sekitar organ kelaminTidak menggunakan NAPZA dan tidak mengonsumsi minuman beralkohol"
Progeria,"Progeria adalah penyakit bawaan yang menyebabkan anak mengalami penuaan dini sejak 2 tahun pertama kehidupannya. Anak yang menderita progeria biasanya mengalami kebotakan, memiliki kulit yang keriput, dan tubuhnya berukuran lebih kecil daripada anak seusianya.Progeria merupakan kondisi yang sangat jarang terjadi.","mutasi genetik ini dan apa saja faktor-faktor yang menjadi pemicunya.Mutasi gen LNMA menyebabkan terbentuknya progerin, yaitu protein abnormal yang mengakibatkan terbentuknya sel-sel yang menua dengan cepat. Akibatnya, anak yang menderita progeria akan mengalami gejala-","yang dialami penderita progeria. Beberapa jenis obat yang dapat diberikan adalah:Obat antiplatelet, seperti aspirin, untuk mencegah serangan jantung dan strokeObat penurun kolesterol, misalnya obat golongan statin, untuk mengatasi kolesterol tinggiObat antihipertensi untuk menurunkan tekanan darahObat antikoagulan untuk mencegah terbentuknya bekuan darahFisioterapi dan terapi okupasiFisioterapi bertujuan untuk melatih anggota gerak agar anak bisa tetap aktif."
